player,week,position,form,pts_per_match,total_pts,total_bonus,ict_index,tsb_percent,fdr,pts_scored
Hill,22,2,2.4,2.6,13,0,6.2,0.8,4,1
Enciso,22,3,1.0,1.2,13,0,27.7,0.1,3,0
Gruda,22,3,1.4,1.3,13,0,25.4,0.0,3,0
Woolfenden,22,2,1.8,1.4,13,0,15.9,1.4,4,0
Walker,22,2,0.4,0.9,13,0,33.5,3.1,2,0
Wood,22,2,2.2,1.6,13,2,12.8,1.3,3,0
Ugochukwu,22,3,1.4,1.2,13,0,17.5,0.2,3,2
Brereton Díaz,22,3,0.0,1.3,13,0,16.8,0.1,3,0
Coufal,22,2,0.0,1.0,13,0,21.5,0.4,3,0
James,22,2,1.4,2.4,12,0,12.5,0.3,2,7
Bradley,22,2,0.2,1.5,12,0,15.1,0.2,4,0
Onuachu,22,4,1.4,1.1,12,0,18.7,0.2,3,1
Spence,22,2,0.0,1.3,12,0,21.1,0.1,3,1
Johnstone,22,1,0.0,1.7,12,0,20.4,0.3,4,0
Sarabia,22,3,0.4,1.9,12,0,25.3,0.1,4,1
Sterling,22,3,0.4,1.6,11,0,14.9,0.8,3,2
Scott,22,3,0.0,1.4,11,0,15.8,0.0,4,0
Schlupp,22,3,0.2,1.0,11,0,9.9,0.1,2,0
Kelly,22,2,0.2,1.2,11,0,12.1,0.1,3,0
Kamaldeen,22,3,1.0,1.1,11,0,10.7,0.0,3,2
Lewis-Skelly,22,3,1.2,1.4,10,0,11.4,0.2,3,1
Buendia,22,3,0.8,0.9,10,0,5.1,0.1,5,1
Philip,22,3,0.8,1.0,10,0,20.4,0.0,4,0
Broadhead,22,3,1.6,1.4,10,0,16.0,0.0,4,2
Krafth,22,2,0.0,3.3,10,0,6.6,0.1,3,0
McCarthy,22,1,0.0,2.5,10,0,12.7,0.1,3,0
Stephens,22,2,0.0,1.0,10,2,19.6,0.4,3,0
Davies,22,2,0.0,2.5,10,0,7.8,0.1,3,0
Ajer,22,2,0.2,0.9,9,0,22.0,0.2,5,0
Steele,22,1,0.0,4.5,9,1,4.1,1.0,3,0
Jaden,22,3,0.0,0.8,9,0,7.4,0.0,4,0
Vestergaard,22,2,0.6,0.7,9,0,29.5,1.5,3,1
Almirón,22,3,0.4,1.1,9,0,7.7,0.4,3,1
Aarons,22,2,1.4,2.7,8,0,1.7,0.2,4,0
J.Araujo,22,2,0.0,1.0,8,0,5.1,0.1,4,0
Webster,22,2,1.4,1.6,8,0,6.8,0.1,3,6
Iroegbunam,22,3,0.0,1.3,8,0,10.4,0.4,4,0
Al-Hamadi,22,4,0.6,0.7,8,0,6.0,0.3,4,0
Endo,22,3,0.4,1.0,8,0,3.5,0.1,4,0
Yoro,22,2,1.0,1.0,8,0,9.9,0.2,3,2
Mount,22,3,0.0,1.0,8,0,11.8,0.1,3,0
Lumley,22,1,0.0,2.7,8,0,10.2,0.6,3,0
Richarlison,22,4,0.2,1.3,8,0,8.6,0.3,3,1
Forbs,22,3,0.6,0.9,8,0,8.3,0.0,4,0
Neto,22,1,0.0,3.5,7,0,7.8,0.8,3,0
Mee,22,2,1.0,1.4,7,0,4.3,0.3,5,0
Mudryk,22,3,0.0,1.0,7,0,8.5,0.2,2,0
Renato Veiga,22,3,0.0,1.0,7,0,5.9,0.2,2,0
Garner,22,3,0.0,1.8,7,0,7.9,0.0,4,0
Luongo,22,3,0.0,1.4,7,0,3.0,0.2,4,0
Ogbene,22,3,0.0,1.4,7,0,6.4,0.0,4,0
Stolarczyk,22,1,1.4,1.8,7,0,10.6,0.4,3,1
Coady,22,2,0.8,0.8,7,0,17.5,0.4,3,0
Edouard,22,4,0.0,1.2,7,0,8.0,0.2,3,0
Elliott,22,3,0.8,1.0,7,0,6.7,0.2,4,0
Antony,22,3,0.6,1.0,7,0,15.0,0.2,3,1
Botman,22,2,1.4,3.5,7,0,4.9,0.1,3,6
Osula,22,4,0.4,1.0,7,0,2.0,0.2,3,1
Bree,22,2,1.0,0.9,7,0,20.6,0.3,3,1
Smallbone,22,3,0.2,1.4,7,0,11.2,0.0,3,1
Reed,22,3,0.0,0.8,6,0,3.7,0.0,2,0
King,22,3,1.0,1.5,6,0,8.3,0.1,2,1
Fraser,22,3,0.0,0.9,6,0,6.7,0.0,3,0
Odobert,22,3,0.0,2.0,6,0,9.2,0.0,3,0
Cresswell,22,2,0.4,0.9,6,0,5.7,1.5,3,1
Irving,22,3,0.4,0.9,6,0,3.8,0.0,3,1
Konak,22,3,0.2,1.0,5,0,0.4,0.1,5,0
Maghoma,22,3,0.6,1.0,5,0,2.3,0.0,5,0
Thiago,22,4,0.0,1.2,5,0,4.2,0.0,5,0
Milner,22,3,0.0,1.7,5,0,10.7,0.0,3,0
Jørgensen,22,1,0.4,2.5,5,0,5.7,0.2,2,0
B.Badiashile,22,2,0.0,1.2,5,0,5.7,0.1,2,0
Dewsbury-Hall,22,3,0.0,1.0,5,0,2.5,0.1,2,0
Broja,22,4,0.8,1.0,5,0,6.2,0.1,4,0
McAtee,22,3,0.6,1.0,5,0,1.9,0.1,2,1
Taylor,22,2,-0.2,0.7,5,0,10.2,4.5,3,0
Moore,22,3,0.0,1.2,5,0,1.0,0.2,3,0
Nedeljkovic,22,2,0.2,1.0,4,0,2.9,0.8,5,0
Moder,22,3,0.4,1.0,4,0,5.4,0.6,3,1
Patterson,22,2,0.6,1.0,4,0,6.7,0.0,4,0
J.Cuenca,22,2,0.0,1.0,4,0,2.4,0.0,2,0
Choudhury,22,3,0.4,1.0,4,0,7.0,2.4,3,0
Quansah,22,2,0.2,0.8,4,0,6.9,1.8,4,0
Lindelof,22,2,0.0,0.8,4,0,3.8,0.1,3,0
Boly,22,2,0.0,1.0,4,0,5.8,0.1,2,0
Sangaré,22,3,0.0,1.3,4,0,7.4,0.7,2,0
L.Guilherme,22,3,0.4,1.0,4,0,3.1,0.0,3,0
Jebbison,22,4,0.2,1.0,3,0,3.1,0.9,4,1
Gilmour,22,3,0.0,1.5,3,0,2.5,0.0,3,0
Acheampong,22,2,0.6,1.5,3,0,2.7,0.1,2,1
Coleman,22,2,0.4,1.0,3,0,6.2,0.0,4,0
Miley,22,3,0.6,1.0,3,0,1.0,0.0,3,1
Wilson,22,4,0.0,0.8,3,0,1.1,0.0,3,0
Toffolo,22,2,0.4,1.0,3,0,2.8,0.1,2,0
Stewart,22,4,0.0,0.8,3,0,2.1,2.2,3,0
Scarles,22,2,0.4,1.0,3,0,1.2,0.0,3,1
Mosquera,22,2,0.0,0.6,3,0,16.0,0.4,4,0
Bogarde,22,2,0.0,0.7,2,0,5.1,0.3,5,0
Ji-soo,22,2,0.4,1.0,2,0,0.6,0.4,5,0
Onyeka,22,3,0.0,1.0,2,0,0.0,0.0,5,0
Marc Guiu,22,4,0.2,1.0,2,0,0.0,0.6,2,0
Kporha,22,2,0.2,1.0,2,0,1.3,0.0,2,0
Agbinone,22,3,0.0,1.0,2,0,1.5,0.0,2,0
O'Brien,22,2,0.2,0.7,2,0,1.0,0.1,4,1
Armstrong,22,3,0.2,0.7,2,0,2.2,0.2,4,0
Sessegnon,22,2,0.2,1.0,2,0,0.2,0.1,2,0
Harness,22,3,0.0,1.0,2,0,1.7,0.0,4,0
Ward,22,1,0.2,1.0,2,0,3.6,1.9,3,0
Ricardo,22,2,0.0,1.0,2,0,2.2,0.1,3,0
Rodrigo,22,3,0.0,1.0,2,0,2.8,0.8,2,0
Shaw,22,2,0.0,1.0,2,0,2.0,0.2,3,0
McTominay,22,3,0.0,1.0,2,0,0.9,0.1,3,0
Collyer,22,3,0.2,1.0,2,0,3.6,0.0,3,1
Da Silva Moreira,22,3,0.0,1.0,2,0,0.6,0.1,2,0
