player,week,position,form,pts_per_match,total_pts,total_bonus,ict_index,tsb_percent,fdr,pts_scored
Dunk,22,2,2.6,2.3,37,0,44.7,3.3,3,1
Estupiñan,22,2,3.6,2.2,37,6,75.5,1.4,3,9
Neto,22,3,1.6,2.1,37,4,68.7,0.6,2,1
Tete,22,2,0.0,2.5,37,0,49.4,0.2,2,0
Ndidi,22,3,0.0,2.5,37,1,66.8,0.2,3,0
Kelleher,22,1,0.0,4.6,37,1,19.7,1.6,4,0
Dúbravka,22,1,6.2,6.2,37,2,10.7,2.6,3,10
Walker-Peters,22,2,1.8,1.9,37,3,74.1,0.3,3,1
Vicario,22,1,0.0,3.1,37,1,25.9,1.7,3,0
Udogie,22,2,0.6,2.1,37,0,57.7,1.7,3,0
Merino,22,3,3.0,2.6,36,2,50.1,0.1,3,1
Nkunku,22,3,0.8,2.0,36,4,42.6,2.0,2,0
El Khannouss,22,3,1.6,2.2,36,3,40.9,0.2,3,2
Akanji,22,2,2.6,2.1,36,1,54.0,2.8,2,1
Tonali,22,3,2.8,1.9,36,0,49.5,0.4,3,3
Harwood-Bellis,22,2,2.0,1.8,36,2,72.8,7.6,3,1
N.Semedo,22,2,3.2,2.1,36,0,57.7,0.2,4,1
Bellegarde,22,3,0.8,1.9,36,0,38.6,0.1,4,1
Minteh,22,3,0.8,2.2,35,0,50.3,0.3,3,1
Gündogan,22,3,1.0,1.8,35,0,70.0,0.4,2,1
Sugawara,22,2,1.4,1.9,35,0,55.1,0.2,3,1
Romero,22,2,0.0,2.9,35,2,48.7,3.7,3,0
Smith,22,2,0.0,2.0,34,0,18.6,0.1,4,0
Roerslev,22,2,3.6,2.0,34,0,42.3,0.1,5,4
Adingra,22,3,2.4,2.3,34,0,39.8,0.3,3,3
Harrison,22,3,1.4,1.9,34,0,45.4,0.1,4,1
Mangala,22,3,1.8,2.0,34,0,35.0,0.0,4,2
Ederson M.,22,1,0.0,2.6,34,2,28.5,4.7,2,0
Fabianski,22,1,1.2,2.8,34,2,32.4,16.9,3,1
Toti,22,2,2.8,2.1,34,4,36.4,0.2,4,0
Pinnock,22,2,0.0,2.1,33,0,72.3,0.3,5,0
Chaplin,22,3,0.4,2.2,33,0,29.7,0.1,4,0
Darwin,22,4,0.6,2.2,33,1,46.0,1.8,4,0
Werner,22,3,1.0,1.9,33,2,37.0,0.2,3,0
Summerville,22,3,1.0,1.7,33,2,58.7,0.4,3,0
Cash,22,2,2.0,2.3,32,1,37.2,1.1,5,6
Pau,22,2,0.8,1.8,32,0,41.2,0.9,5,0
Enes Ünal,22,4,0.8,1.9,32,4,35.9,0.1,4,0
Van den Berg,22,2,2.4,1.9,32,1,47.8,2.5,5,1
Ayari,22,3,1.6,1.8,32,0,61.2,0.0,3,3
Keane,22,2,0.0,3.6,32,3,33.0,4.7,4,0
Winks,22,3,1.8,2.0,32,0,50.5,5.9,3,2
Casemiro,22,3,0.6,2.3,32,3,63.6,0.4,3,0
Downes,22,3,0.8,1.9,32,0,52.7,0.0,3,0
Alex Moreno,22,2,0.2,2.6,31,1,26.2,0.4,2,1
Mavropanos,22,2,1.8,1.7,31,4,46.9,0.1,3,1
Matheus N.,22,3,0.4,2.3,30,2,51.0,0.1,2,2
Gusto,22,2,1.8,1.7,29,0,55.8,1.9,2,0
O'Shea,22,2,1.6,1.6,29,1,55.1,1.6,4,1
Burns,22,3,1.6,1.7,29,0,31.8,0.0,4,2
De Cordova-Reid,22,3,0.6,2.1,29,2,11.6,0.1,3,0
Bednarek,22,2,2.4,1.7,29,2,49.7,2.4,3,2
C.Soler,22,3,2.4,1.8,29,2,37.9,0.0,3,9
Ramsey,22,3,1.2,2.2,28,0,38.7,0.2,5,3
Brooks,22,3,2.0,2.0,28,1,32.8,0.0,4,1
Hinshelwood,22,3,0.0,2.8,28,3,30.6,0.0,3,0
Wieffer,22,3,1.8,2.2,28,3,27.8,0.1,3,0
Lukić,22,3,2.2,1.8,28,1,35.0,0.1,2,1
Faes,22,2,0.6,1.6,28,0,47.5,7.0,3,1
Rúben,22,2,0.0,2.2,28,1,42.9,2.2,2,0
Van de Ven,22,2,0.0,3.1,28,2,23.8,2.6,3,0
Ings,22,4,1.0,2.5,28,4,29.7,1.4,3,4
Doherty,22,2,3.6,2.0,28,2,40.6,0.3,4,0
Hee Chan,22,3,3.4,1.9,28,0,21.0,0.3,4,1
White,22,2,0.0,3.0,27,0,21.3,2.2,3,0
Carvalho,22,3,0.2,1.7,27,1,29.1,0.5,5,0
Nelson,22,3,0.0,2.2,27,2,55.1,0.1,2,0
Mainoo,22,3,1.6,1.8,27,0,42.5,1.9,3,1
